2025-04-15 14:48:10,395 INFO    MainThread:1452434 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_setup.py:_flush():67] Configure stats pid to 1452434
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_setup.py:_flush():67] Loading settings from /home/tat/.config/wandb/settings
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_setup.py:_flush():67] Loading settings from /home/tat/research/wandb/settings
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/tat/research/wandb/run-20250415_144810-byxeqrao/logs/debug.log
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/tat/research/wandb/run-20250415_144810-byxeqrao/logs/debug-internal.log
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:init():781] calling init triggers
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'optimizer': 'SGD', 'max_lr': 0.1, 'scheduler': 'CosineAnnealingLR', 'batch_size': 200, 'epochs': 1000, 'num_gpus': 1, 'T': 16.0, 'modelname': 'resnet18', 'dataname': 'cifar10', 'div': 4, 'type': 'comb', 'pretrained': False, 'num_subset': 5000, 'scaling': False, 'crossing': True, 'ensembles': 16, '_wandb': {}}
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:init():809] starting backend
2025-04-15 14:48:10,396 INFO    MainThread:1452434 [wandb_init.py:init():813] sending inform_init request
2025-04-15 14:48:10,399 INFO    MainThread:1452434 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-15 14:48:10,399 INFO    MainThread:1452434 [wandb_init.py:init():823] backend started and connected
2025-04-15 14:48:10,400 INFO    MainThread:1452434 [wandb_init.py:init():915] updated telemetry
2025-04-15 14:48:10,402 INFO    MainThread:1452434 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-15 14:48:10,987 INFO    MainThread:1452434 [wandb_init.py:init():1014] starting run threads in backend
2025-04-15 14:48:11,045 INFO    MainThread:1452434 [wandb_run.py:_console_start():2454] atexit reg
2025-04-15 14:48:11,045 INFO    MainThread:1452434 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-15 14:48:11,046 INFO    MainThread:1452434 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-15 14:48:11,046 INFO    MainThread:1452434 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-15 14:48:11,048 INFO    MainThread:1452434 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-15 15:53:56,367 INFO    MsgRouterThr:1452434 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
