step,lr,epoch,train_loss
1,0.0001,1,0.009812100011259317
2,0.0001,2,0.002297163801888625
3,0.0001,3,0.002234029861042897
4,0.0001,4,0.0021908184347550074
5,0.0001,5,0.0021690992522239686
6,0.0001,6,0.0021506226928532123
7,0.0001,7,0.0021252434070408344
8,0.0001,8,0.0021017813031375407
9,0.0001,9,0.0021084452544152736
10,0.0001,10,0.0020806094881892206
11,0.0001,11,0.0020731769793728987
12,0.0001,12,0.0020681689070165157
13,0.0001,13,0.002062477906048298
14,0.0001,14,0.002058806271950404
15,0.0001,15,0.0020525660076737406
16,0.0001,16,0.0020411460341016453
17,0.0001,17,0.0020357934731741745
18,0.0001,18,0.002042725692341725
19,0.0001,19,0.0020376446231206258
20,0.0001,20,0.00202735323920846
21,0.0001,21,0.0020155268956224123
22,0.0001,22,0.002024971421062946
23,0.0001,23,0.0020182930720845857
24,0.0001,24,0.002004272095163663
25,0.0001,25,0.0020069362598160905
