step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3612319211959839,0.228
2,0.0004999996915749259,2,0.3079626057942708,0.338
3,0.0004999987663004646,3,0.2731153752009074,0.382
4,0.000499997224178899,4,0.24594923575719196,0.426
5,0.0004999950652140343,5,0.22895764382680256,0.442
6,0.0004999922894111975,6,0.21775409030914306,0.47
7,0.0004999888967772375,7,0.21177200762430826,0.49
8,0.0004999848873205254,8,0.2020783541997274,0.514
9,0.0004999802610509541,9,0.19620693763097127,0.54
10,0.0004999750179799384,10,0.18644174607594807,0.55
11,0.0004999691581204152,11,0.17933741315205892,0.586
12,0.000499962681486843,12,0.17987472105026245,0.564
13,0.0004999555880952023,13,0.1732866504987081,0.588
14,0.0004999478779629953,14,0.16695084857940673,0.592
15,0.000499939551109246,15,0.16037110567092897,0.63
