step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.376984260559082,0.252
2,0.0004999996915749259,2,0.36291158294677733,0.354
3,0.0004999987663004646,3,0.3522671581904093,0.394
4,0.000499997224178899,4,0.3444690945943197,0.396
5,0.0004999950652140343,5,0.33795813433329264,0.418
6,0.0004999922894111975,6,0.3316086359024048,0.43
7,0.0004999888967772375,7,0.326138501962026,0.438
8,0.0004999848873205254,8,0.321712585290273,0.436
9,0.0004999802610509541,9,0.317332040309906,0.452
10,0.0004999750179799384,10,0.3127707678476969,0.45
11,0.0004999691581204152,11,0.3083826278050741,0.466
12,0.000499962681486843,12,0.3049556303024292,0.462
13,0.0004999555880952023,13,0.30132828680674234,0.462
14,0.0004999478779629953,14,0.29792580699920657,0.472
15,0.000499939551109246,15,0.2942622505823771,0.494
