step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3724543307622274,0.232
2,0.0004999996915749259,2,0.3424128605524699,0.366
3,0.0004999987663004646,3,0.31753469053904215,0.386
4,0.000499997224178899,4,0.2986522453625997,0.422
5,0.0004999950652140343,5,0.283681471824646,0.436
6,0.0004999922894111975,6,0.2702503186861674,0.474
7,0.0004999888967772375,7,0.26138159545262657,0.496
8,0.0004999848873205254,8,0.25103219683965045,0.512
9,0.0004999802610509541,9,0.24348069063822428,0.52
10,0.0004999750179799384,10,0.23555933078130087,0.534
11,0.0004999691581204152,11,0.22853277730941773,0.546
12,0.000499962681486843,12,0.2250457582473755,0.54
13,0.0004999555880952023,13,0.2178360301653544,0.552
14,0.0004999478779629953,14,0.21277000967661538,0.584
15,0.000499939551109246,15,0.20721577262878418,0.604
