step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.38540744749704997,0.086
2,0.0004999996915749259,2,0.30373051087061564,0.34
3,0.0004999987663004646,3,0.26042111921310424,0.384
4,0.000499997224178899,4,0.2414537008603414,0.41
5,0.0004999950652140343,5,0.2270560539563497,0.428
6,0.0004999922894111975,6,0.21900935920079548,0.472
7,0.0004999888967772375,7,0.2166529049873352,0.458
8,0.0004999848873205254,8,0.20711662085851035,0.46
9,0.0004999802610509541,9,0.203331414381663,0.502
10,0.0004999750179799384,10,0.19628494342168173,0.524
11,0.0004999691581204152,11,0.18998646958669027,0.544
12,0.000499962681486843,12,0.1879813831647237,0.534
13,0.0004999555880952023,13,0.1815758531888326,0.54
14,0.0004999478779629953,14,0.17607947492599488,0.556
15,0.000499939551109246,15,0.17571371396382648,0.554
